INF | 2025-10-05 13:05:48.142 [libtrx/game/shell/main.c:20:SDL_main] Starting TR2X 1.3.2
INF | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:801:Level_ReadAnimFrames] raw anim frames: 563
DBG | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:806:Level_ReadAnimFrames] took 0.02 ms
INF | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:829:Level_ReadObjects] objects: 6
DBG | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:847:Level_ReadObjects] took 0.02 ms
INF | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:854:Level_ReadStaticObjects] static objects: 0
DBG | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:875:Level_ReadStaticObjects] took 0.02 ms
INF | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:883:Level_ReadObjectTextures] object textures: 26
DBG | 2025-10-05 13:05:50.339 [libtrx/game/level/common.c:887:Level_ReadObjectTextures] took 0.02 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:911:Level_ReadSpriteTextures] sprite textures: 121
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:916:Level_ReadSpriteTextures] took 0.02 ms
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:946:Level_ReadSpriteSequences] sprite sequences: 5
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:969:Level_ReadSpriteSequences] took 0.01 ms
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1085:Level_ReadCamerasAndSinks] fixed cameras/sinks: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1091:Level_ReadCamerasAndSinks] took 0.01 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1142:Level_ReadSoundSources] sound sources: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1148:Level_ReadSoundSources] took 0.01 ms
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1009:Level_ReadPathingData] took 0.00 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1020:Level_ReadAnimatedTextureRanges] animated texture ranges: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1040:Level_ReadAnimatedTextureRanges] took 0.02 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1098:Level_ReadItems] items: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1122:Level_ReadItems] took 0.20 ms
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1060:Level_ReadLightMap] took 0.03 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1068:Level_ReadCinematicFrames] cinematic frames: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1078:Level_ReadCinematicFrames] took 0.01 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1129:Level_ReadDemoData] demo buffer size: 0
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1135:Level_ReadDemoData] took 0.01 ms
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1160:Level_ReadSamples] sample infos: 8
INF | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1182:Level_ReadSamples] samples: 8
DBG | 2025-10-05 13:05:50.340 [libtrx/game/level/common.c:1191:Level_ReadSamples] took 0.03 ms
DBG | 2025-10-05 13:05:50.340 [game/level.c:369:M_LoadFromFile] took 3.21 ms
INF | 2025-10-05 13:05:50.341 [libtrx/game/level/common.c:658:Level_AppendObjectMeshes] 2 unique meshes constructed
INF | 2025-10-05 13:05:50.341 [libtrx/game/level/common.c:658:Level_AppendObjectMeshes] 26 unique meshes constructed
DBG | 2025-10-05 13:05:50.342 [libtrx/game/inject/common.c:335:Inject_AllInjections] took 1.74 ms
INF | 2025-10-05 13:05:50.342 [libtrx/game/anims/frames.c:164:Anim_InitialiseFrames] 254 anim frames
DBG | 2025-10-05 13:05:50.342 [libtrx/game/anims/frames.c:214:Anim_LoadFrames] took 0.02 ms
DBG | 2025-10-05 13:05:50.342 [libtrx/game/anims/commands.c:71:Anim_LoadCommands] took 0.00 ms
DBG | 2025-10-05 13:05:50.343 [game/output.c:395:M_ReserveVertexBuffer] took 0.01 ms
DBG | 2025-10-05 13:05:50.343 [game/render/common.c:185:Render_SetupDisplay] 1280x720
DBG | 2025-10-05 13:05:50.343 [game/render/common.c:151:Render_Reset] reset_flags=1
DBG | 2025-10-05 13:05:50.364 [game/render/common.c:178:Render_Reset] reset finished
DBG | 2025-10-05 13:05:50.364 [game/render/common.c:151:Render_Reset] reset_flags=16
DBG | 2025-10-05 13:05:50.385 [game/render/hwr.c:1342:M_Reset] Reloading textures
DBG | 2025-10-05 13:05:50.393 [game/render/common.c:178:Render_Reset] reset finished
DBG | 2025-10-05 13:05:50.393 [game/level.c:257:M_InitialiseSoundEffects] Loading samples from C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\data/main.sfx
DBG | 2025-10-05 13:05:50.396 [game/level.c:310:M_InitialiseSoundEffects] took 2.85 ms
DBG | 2025-10-05 13:05:50.396 [game/level.c:393:M_CompleteSetup] took 55.61 ms
DBG | 2025-10-05 13:05:50.396 [libtrx/game/inject/common.c:364:Inject_Cleanup] took 0.06 ms
DBG | 2025-10-05 13:05:50.396 [game/level.c:410:Level_Load] took 64.82 ms
DBG | 2025-10-05 13:05:50.396 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TRX_common_strings.json5
DBG | 2025-10-05 13:05:50.396 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TR2X_strings.json5
DBG | 2025-10-05 13:05:50.396 [libtrx/game/game_string_table/common.c:74:M_ApplyLayer] applying layer: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\cfg/TR2X_strings.json5
INF | 2025-10-05 13:05:50.397 [libtrx/game/music/common.c:201:Music_Play] Playing track 60, mode: 1
ERR | 2025-10-05 13:05:50.412 [libtrx/engine/audio_stream.c:377:M_InitialiseFromPath] Error while opening audio music/60.flac: No such file or directory
ERR | 2025-10-05 13:05:50.412 [libtrx/game/music/common.c:205:Music_Play] Failed to create music stream for track 60
INF | 2025-10-05 13:05:50.412 [libtrx/game/output/background.c:56:M_ScanCandidates] Searching for background images
INF | 2025-10-05 13:05:50.413 [libtrx/game/output/background.c:115:M_ScanCandidates] 1. data/images/title_eu.webp (16:9)
INF | 2025-10-05 13:05:50.413 [libtrx/game/output/background.c:160:M_LoadCandidate] Loading background image from data/images/title_eu.webp
DBG | 2025-10-05 13:05:51.116 [libtrx/engine/audio_sample.c:454:M_ConvertSample] sample 2 decoded: took 4.28 ms
INF | 2025-10-05 13:05:53.578 [game/shell/common.c:224:Shell_Main] action=exit_game param=0
INF | 2025-10-05 13:05:53.578 [libtrx/config/file.c:220:ConfigFile_Write] Saving user settings
ERR | 2025-10-05 13:05:53.580 [libtrx/filesystem.c:477:File_Load] Can't open file cfg/TR2X.json5
INF | 2025-10-05 13:05:53.587 [libtrx/gfx/renderer.c:128:M_Shutdown] 
INF | 2025-10-05 13:05:53.591 [libtrx/config/file.c:220:ConfigFile_Write] Saving user settings
ERR | 2025-10-05 13:05:53.593 [libtrx/filesystem.c:477:File_Load] Can't open file cfg/TR2X_console_history.json5
