INF | 2025-10-06 17:39:51.263 [libtrx/game/shell/main.c:26:SDL_main] Starting TR2X 1.5
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:595:Level_ReadRooms] took 0.02 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:602:Level_ReadObjectMeshes] object mesh data: 3180
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:608:Level_ReadObjectMeshes] object mesh offsets: 12
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 12 unique meshes constructed
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:623:Level_ReadObjectMeshes] took 0.06 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:702:Level_ReadAnims] anims: 6
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:705:Level_ReadAnims] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:736:Level_ReadAnimChanges] anim changes: 1
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:740:Level_ReadAnimChanges] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:759:Level_ReadAnimRanges] anim ranges: 1
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:763:Level_ReadAnimRanges] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:783:Level_ReadAnimCommands] anim commands: 0
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:788:Level_ReadAnimCommands] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:809:Level_ReadAnimBones] anim bones: 6
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:812:Level_ReadAnimBones] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:835:Level_ReadAnimFrames] raw anim frames: 563
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:840:Level_ReadAnimFrames] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:863:Level_ReadObjects] objects: 6
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:882:Level_ReadObjects] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:889:Level_ReadStaticObjects] static objects: 0
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:910:Level_ReadStaticObjects] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:918:Level_ReadObjectTextures] object textures: 26
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:922:Level_ReadObjectTextures] took 0.01 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:946:Level_ReadSpriteTextures] sprite textures: 121
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:951:Level_ReadSpriteTextures] took 0.02 ms
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:981:Level_ReadSpriteSequences] sprite sequences: 5
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1004:Level_ReadSpriteSequences] took 0.01 ms
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1120:Level_ReadCamerasAndSinks] fixed cameras/sinks: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1126:Level_ReadCamerasAndSinks] took 0.01 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1178:Level_ReadSoundSources] sound sources: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1184:Level_ReadSoundSources] took 0.01 ms
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1044:Level_ReadPathingData] took 0.00 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1055:Level_ReadAnimatedTextureRanges] animated texture ranges: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1075:Level_ReadAnimatedTextureRanges] took 0.02 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.11 ms
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1095:Level_ReadLightMap] took 0.01 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1103:Level_ReadCinematicFrames] cinematic frames: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1113:Level_ReadCinematicFrames] took 0.01 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1165:Level_ReadDemoData] demo buffer size: 0
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1171:Level_ReadDemoData] took 0.01 ms
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1202:Level_ReadSamples] sample infos: 8
INF | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1259:Level_ReadSamples] samples: 8
DBG | 2025-10-06 17:39:54.047 [libtrx/game/level/common.c:1269:Level_ReadSamples] took 0.04 ms
DBG | 2025-10-06 17:39:54.047 [game/level.c:358:M_LoadFromFile] took 2.26 ms
INF | 2025-10-06 17:39:54.048 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 2 unique meshes constructed
DBG | 2025-10-06 17:39:54.048 [libtrx/game/inject/common.c:331:Inject_AllInjections] took 1.01 ms
INF | 2025-10-06 17:39:54.048 [libtrx/game/anims/frames.c:154:Anim_InitialiseFrames] 74 anim frames
DBG | 2025-10-06 17:39:54.048 [libtrx/game/anims/frames.c:204:Anim_LoadFrames] took 0.01 ms
DBG | 2025-10-06 17:39:54.048 [libtrx/game/anims/commands.c:69:Anim_LoadCommands] took 0.00 ms
DBG | 2025-10-06 17:39:54.048 [libtrx/game/level/common.c:1342:Level_LoadTexturePages] copied texture data: took 0.26 ms
DBG | 2025-10-06 17:39:54.050 [libtrx/game/level/common.c:1359:Level_LoadTexturePages] premultiplied alpha: took 2.18 ms
DBG | 2025-10-06 17:39:54.051 [libtrx/game/level/common.c:1363:Level_LoadTexturePages] took 2.46 ms
DBG | 2025-10-06 17:39:54.059 [game/level.c:247:M_InitialiseSoundEffects] Loading samples from C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\data/main.sfx
DBG | 2025-10-06 17:39:54.060 [game/level.c:300:M_InitialiseSoundEffects] took 1.29 ms
DBG | 2025-10-06 17:39:54.060 [game/level.c:381:M_CompleteSetup] took 13.37 ms
DBG | 2025-10-06 17:39:54.060 [libtrx/game/inject/common.c:363:Inject_Cleanup] took 0.08 ms
DBG | 2025-10-06 17:39:54.060 [game/level.c:400:Level_Load] took 19.14 ms
DBG | 2025-10-06 17:39:54.061 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/base_strings.json5
DBG | 2025-10-06 17:39:54.061 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:54.061 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
INF | 2025-10-06 17:39:54.061 [libtrx/game/music/common.c:198:Music_Play] Playing track 60, mode: 1
INF | 2025-10-06 17:39:54.077 [libtrx/game/output/background.c:44:M_ScanCandidates] Searching for background images
INF | 2025-10-06 17:39:54.079 [libtrx/game/output/background.c:103:M_ScanCandidates] 1. data/images/3x2/title_eu.webp (3:2)
INF | 2025-10-06 17:39:54.079 [libtrx/game/output/background.c:103:M_ScanCandidates] 2. data/images/4x3/title_eu.webp (4:3)
INF | 2025-10-06 17:39:54.079 [libtrx/game/output/background.c:103:M_ScanCandidates] 3. data/images/title_eu.webp (16:9)
INF | 2025-10-06 17:39:54.079 [libtrx/game/output/background.c:148:M_LoadCandidate] Loading background image from data/images/title_eu.webp
INF | 2025-10-06 17:39:54.693 [libtrx/game/console/common.c:95:Console_Eval] executing command: play 8
INF | 2025-10-06 17:39:54.693 [libtrx/game/console/common.c:76:Console_Log] Loading Wreck of the Maria Doria
DBG | 2025-10-06 17:39:54.693 [libtrx/game/savegame/common.c:241:Savegame_UnbindSlot] Resetting the save slot
INF | 2025-10-06 17:39:54.694 [game/shell/common.c:116:Shell_Main] action=select_level param=8
DBG | 2025-10-06 17:39:54.694 [libtrx/game/game_flow/sequencer.c:43:GF_InterpretSequence] running sequence for level=8 type=1 seq_ctx=3
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #1
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #1
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #1 to level #2
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #2
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #2 to level #3
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #3
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #3 to level #4
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #4
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #4 to level #5
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #5
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #5 to level #6
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #6
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #6 to level #7
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #7
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:387:Savegame_CarryCurrentInfoToNextLevel] Copying resume info from level #7 to level #8
INF | 2025-10-06 17:39:54.694 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #8
DBG | 2025-10-06 17:39:54.694 [game/level.c:406:Level_Initialise] num=8 type=1
INF | 2025-10-06 17:39:54.697 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/font.bin queued for injection
INF | 2025-10-06 17:39:54.700 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/lara_animations.bin queued for injection
INF | 2025-10-06 17:39:54.701 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/pda_model.bin queued for injection
INF | 2025-10-06 17:39:54.703 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/winston_model.bin queued for injection
INF | 2025-10-06 17:39:54.704 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/barefoot_sfx.bin queued for injection
INF | 2025-10-06 17:39:54.704 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_cameras.bin queued for injection
INF | 2025-10-06 17:39:54.704 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_fd.bin queued for injection
INF | 2025-10-06 17:39:54.704 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_goon_sfx.bin queued for injection
INF | 2025-10-06 17:39:54.704 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_itemrots.bin queued for injection
INF | 2025-10-06 17:39:54.705 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_music_tracks.bin queued for injection
INF | 2025-10-06 17:39:54.706 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_pickup_meshes.bin queued for injection
INF | 2025-10-06 17:39:54.707 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_plants.bin queued for injection
INF | 2025-10-06 17:39:54.707 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_secret_fd.bin queued for injection
INF | 2025-10-06 17:39:54.707 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/wreck_textures.bin queued for injection
DBG | 2025-10-06 17:39:54.707 [libtrx/game/inject/common.c:277:Inject_InitLevel] took 11.71 ms
DBG | 2025-10-06 17:39:54.712 [game/level.c:225:M_GuessLayout] took 0.03 ms
DBG | 2025-10-06 17:39:54.712 [libtrx/game/level/common.c:422:Level_ReadPalettes] took 0.00 ms
INF | 2025-10-06 17:39:54.712 [libtrx/game/level/common.c:431:Level_ReadTexturePages] texture pages: 36
DBG | 2025-10-06 17:39:54.721 [libtrx/game/level/common.c:468:Level_ReadTexturePages] took 9.37 ms
INF | 2025-10-06 17:39:54.722 [libtrx/game/level/common.c:476:Level_ReadRooms] rooms: 114
DBG | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:595:Level_ReadRooms] took 1.08 ms
INF | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:602:Level_ReadObjectMeshes] object mesh data: 77008
INF | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:608:Level_ReadObjectMeshes] object mesh offsets: 407
INF | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 288 unique meshes constructed
DBG | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:623:Level_ReadObjectMeshes] took 0.77 ms
INF | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:702:Level_ReadAnims] anims: 515
DBG | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:705:Level_ReadAnims] took 0.04 ms
INF | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:736:Level_ReadAnimChanges] anim changes: 377
DBG | 2025-10-06 17:39:54.723 [libtrx/game/level/common.c:740:Level_ReadAnimChanges] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:759:Level_ReadAnimRanges] anim ranges: 416
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:763:Level_ReadAnimRanges] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:783:Level_ReadAnimCommands] anim commands: 1718
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:788:Level_ReadAnimCommands] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:809:Level_ReadAnimBones] anim bones: 296
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:812:Level_ReadAnimBones] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:835:Level_ReadAnimFrames] raw anim frames: 226744
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:840:Level_ReadAnimFrames] took 0.15 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:863:Level_ReadObjects] objects: 81
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:882:Level_ReadObjects] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:889:Level_ReadStaticObjects] static objects: 30
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:910:Level_ReadStaticObjects] took 0.01 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:918:Level_ReadObjectTextures] object textures: 1959
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:922:Level_ReadObjectTextures] took 0.08 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:946:Level_ReadSpriteTextures] sprite textures: 184
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:951:Level_ReadSpriteTextures] took 0.02 ms
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:981:Level_ReadSpriteSequences] sprite sequences: 33
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1004:Level_ReadSpriteSequences] took 0.01 ms
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1120:Level_ReadCamerasAndSinks] fixed cameras/sinks: 15
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1126:Level_ReadCamerasAndSinks] took 0.01 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1178:Level_ReadSoundSources] sound sources: 1
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1184:Level_ReadSoundSources] took 0.01 ms
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1044:Level_ReadPathingData] took 0.03 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1055:Level_ReadAnimatedTextureRanges] animated texture ranges: 1
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1075:Level_ReadAnimatedTextureRanges] took 0.02 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 108
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.15 ms
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1095:Level_ReadLightMap] took 0.01 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1103:Level_ReadCinematicFrames] cinematic frames: 0
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1113:Level_ReadCinematicFrames] took 0.01 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1165:Level_ReadDemoData] demo buffer size: 0
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1171:Level_ReadDemoData] took 0.01 ms
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1202:Level_ReadSamples] sample infos: 167
INF | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1259:Level_ReadSamples] samples: 201
DBG | 2025-10-06 17:39:54.724 [libtrx/game/level/common.c:1269:Level_ReadSamples] took 0.08 ms
DBG | 2025-10-06 17:39:54.725 [game/level.c:358:M_LoadFromFile] took 17.11 ms
INF | 2025-10-06 17:39:54.726 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 2 unique meshes constructed
INF | 2025-10-06 17:39:54.727 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 26 unique meshes constructed
WRN | 2025-10-06 17:39:54.727 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 0 is not applicable to the current level
WRN | 2025-10-06 17:39:54.727 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 4 is not applicable to the current level
WRN | 2025-10-06 17:39:54.727 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 6 is not applicable to the current level
WRN | 2025-10-06 17:39:54.727 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 0 is not applicable to the current level
INF | 2025-10-06 17:39:54.728 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 18 unique meshes constructed
WRN | 2025-10-06 17:39:54.728 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 0 is not applicable to the current level
WRN | 2025-10-06 17:39:54.728 [libtrx/game/inject/common.c:305:Inject_AllInjections] Injection type 2 is not applicable to the current level
DBG | 2025-10-06 17:39:54.728 [libtrx/game/inject/common.c:331:Inject_AllInjections] took 3.06 ms
INF | 2025-10-06 17:39:54.728 [libtrx/game/anims/frames.c:154:Anim_InitialiseFrames] 11713 anim frames
DBG | 2025-10-06 17:39:54.729 [libtrx/game/anims/frames.c:204:Anim_LoadFrames] took 1.23 ms
DBG | 2025-10-06 17:39:54.730 [libtrx/game/anims/commands.c:69:Anim_LoadCommands] took 0.03 ms
DBG | 2025-10-06 17:39:54.736 [libtrx/game/level/common.c:1342:Level_LoadTexturePages] copied texture data: took 3.93 ms
DBG | 2025-10-06 17:39:54.743 [libtrx/game/level/common.c:1359:Level_LoadTexturePages] premultiplied alpha: took 11.11 ms
DBG | 2025-10-06 17:39:54.744 [libtrx/game/level/common.c:1363:Level_LoadTexturePages] took 11.94 ms
DBG | 2025-10-06 17:39:54.784 [game/level.c:247:M_InitialiseSoundEffects] Loading samples from C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\data/main.sfx
DBG | 2025-10-06 17:39:54.790 [game/level.c:300:M_InitialiseSoundEffects] took 6.09 ms
DBG | 2025-10-06 17:39:54.790 [game/level.c:381:M_CompleteSetup] took 64.72 ms
DBG | 2025-10-06 17:39:54.790 [libtrx/game/inject/common.c:363:Inject_Cleanup] took 0.17 ms
DBG | 2025-10-06 17:39:54.790 [game/level.c:400:Level_Load] took 94.22 ms
DBG | 2025-10-06 17:39:54.790 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/base_strings.json5
DBG | 2025-10-06 17:39:54.790 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=add_secret_reward(11) data=0x55965b8
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=add_secret_reward(11) data=0x55965b8 finished, result: action=noop, param=0
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=add_secret_reward(11) data=0x55965c4
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=add_secret_reward(11) data=0x55965c4 finished, result: action=noop, param=0
DBG | 2025-10-06 17:39:54.791 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=loop_game(1) data=0x8
INF | 2025-10-06 17:39:54.791 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:54.791 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 191
INF | 2025-10-06 17:39:54.791 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 192
INF | 2025-10-06 17:39:54.791 [libtrx/game/music/common.c:198:Music_Play] Playing track 27, mode: 1
INF | 2025-10-06 17:39:55.190 [libtrx/game/console/common.c:95:Console_Eval] executing command: tp 71
INF | 2025-10-06 17:39:55.191 [libtrx/game/console/common.c:76:Console_Log] Teleported to room: 71
DBG | 2025-10-06 17:39:56.227 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 216 decoded: took 2.51 ms
DBG | 2025-10-06 17:39:56.694 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 219 decoded: took 2.31 ms
DBG | 2025-10-06 17:39:57.127 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 218 decoded: took 2.44 ms
DBG | 2025-10-06 17:39:58.492 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 7 decoded: took 1.09 ms
DBG | 2025-10-06 17:39:58.792 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 36 decoded: took 0.91 ms
DBG | 2025-10-06 17:39:59.461 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 63 decoded: took 1.64 ms
DBG | 2025-10-06 17:39:59.659 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 64 decoded: took 1.21 ms
DBG | 2025-10-06 17:40:00.261 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 31 decoded: took 2.43 ms
DBG | 2025-10-06 17:40:01.559 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 217 decoded: took 2.19 ms
INF | 2025-10-06 17:40:02.358 [libtrx/game/console/common.c:76:Console_Log] Fly mode enabled
DBG | 2025-10-06 17:40:02.794 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 43 decoded: took 3.90 ms
DBG | 2025-10-06 17:40:04.360 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 78 decoded: took 1.52 ms
DBG | 2025-10-06 17:40:04.492 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 79 decoded: took 0.97 ms
DBG | 2025-10-06 17:40:04.493 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 77 decoded: took 1.10 ms
INF | 2025-10-06 17:40:06.292 [libtrx/game/console/common.c:76:Console_Log] Open Sesame!
DBG | 2025-10-06 17:40:06.334 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 73 decoded: took 9.35 ms
INF | 2025-10-06 17:40:06.625 [libtrx/game/console/common.c:76:Console_Log] Fly mode disabled
DBG | 2025-10-06 17:40:07.261 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 10 decoded: took 1.45 ms
INF | 2025-10-06 17:40:07.261 [libtrx/game/console/common.c:76:Console_Log] Lara's backpack just got way heavier!
DBG | 2025-10-06 17:40:08.660 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 105 decoded: took 2.14 ms
DBG | 2025-10-06 17:40:08.837 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 94 decoded: took 12.49 ms
DBG | 2025-10-06 17:40:09.926 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 104 decoded: took 1.07 ms
DBG | 2025-10-06 17:40:10.160 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 103 decoded: took 1.08 ms
DBG | 2025-10-06 17:40:13.960 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 33 decoded: took 1.74 ms
INF | 2025-10-06 17:40:14.758 [libtrx/game/console/common.c:76:Console_Log] Fly mode enabled
DBG | 2025-10-06 17:40:15.930 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 114 decoded: took 5.24 ms
DBG | 2025-10-06 17:40:17.125 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 59 decoded: took 0.82 ms
INF | 2025-10-06 17:40:17.959 [libtrx/game/console/common.c:76:Console_Log] No doors in Lara's proximity
INF | 2025-10-06 17:40:18.959 [libtrx/game/console/common.c:76:Console_Log] Fly mode disabled
DBG | 2025-10-06 17:40:20.866 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 93 decoded: took 8.35 ms
DBG | 2025-10-06 17:40:26.063 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 30 decoded: took 3.15 ms
DBG | 2025-10-06 17:40:26.897 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 88 decoded: took 5.10 ms
DBG | 2025-10-06 17:40:34.231 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 117 decoded: took 5.83 ms
DBG | 2025-10-06 17:40:38.628 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 71 decoded: took 3.01 ms
INF | 2025-10-06 17:40:43.458 [libtrx/game/console/common.c:76:Console_Log] Fly mode enabled
INF | 2025-10-06 17:40:51.393 [libtrx/game/console/common.c:76:Console_Log] Fly mode disabled
DBG | 2025-10-06 17:40:52.764 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 174 decoded: took 5.22 ms
DBG | 2025-10-06 17:41:01.760 [libtrx/engine/audio_sample.c:448:M_ConvertSample] sample 54 decoded: took 0.85 ms
DBG | 2025-10-06 17:41:02.359 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=loop_game(1) data=0x8 finished, result: action=exit_game, param=0
